"Phase","PhaseName","Sub","Task","Hrs","Cost","Deliverable","Assigned"
"0","System Architecture & Interface Definition","0.1","GPIO pinout & topology freeze","6","210","Zero GPIO conflicts. Single ESP32-S3 pin assignment sheet signed off.","Robotics Firmware Engineer"
"0","System Architecture & Interface Definition","0.2","FreeRTOS task map & core pinning","5","175","All 15 tasks defined: core, priority, stack, period. Queue specs signed off.","Robotics Firmware Engineer"
"0","System Architecture & Interface Definition","0.3","Safety boundaries & CAN bus isolation","5","175","4-layer defense model, ESTOP bypass paths, mode state machine signed off.","Robotics Firmware Engineer"
"1","Protocol & Bench Bring-up","1.1","CAN physical layer bench setup","6","210","Clean CAN frames on PC analyzer, zero errors over 10 min.","Integration/Test Engineer"
"1","Protocol & Bench Bring-up","1.2","Steer-by-Wire (SES) actuation discovery","8","280","Rack moves to commanded angle. CAN ID, payload layout, angle scaling documented.","Integration/Test Engineer"
"1","Protocol & Bench Bring-up","1.3","Steer-by-Wire (SES) feedback decoding","6","210","Feedback CAN IDs decoded: angle, faults, center status. ±0.5° accuracy verified.","Integration/Test Engineer"
"1","Protocol & Bench Bring-up","1.4","Brake-by-Wire (SEB) actuation & venting discovery","8","280","Pressure >2 MPa via CAN. Vent sequence, pressure scaling, stroke limits documented.","Integration/Test Engineer"
"1","Protocol & Bench Bring-up","1.5","Brake-by-Wire (SEB) feedback decoding","6","210","Feedback CAN IDs decoded: pressure, stroke, fault codes. ±5% gauge match.","Integration/Test Engineer"
"2","CAN Dictionary & Protocol Definition","2.1","Public bus CAN message formalization","4","140","All 10 public CAN IDs documented: field offsets, types, scaling, rates. Bus load <5%.","Robotics Firmware Engineer"
"2","CAN Dictionary & Protocol Definition","2.2","Private bus (Syntree) CAN message formalization","4","140","All Syntree IDs formalized from Phase 1 data: byte layouts, scaling, checksums, fault tables.","Robotics Firmware Engineer"
"2","CAN Dictionary & Protocol Definition","2.3","Update can_protocol.h from CAN dictionary","2","70","can_protocol.h matches dictionary. All struct sizes pass static_assert.","Robotics Firmware Engineer"
"3","Core Firmware Platform Development","3.1","Unified project structure & build system","4","140","pio run succeeds, zero warnings. Single firmware image. shared/intermcu/ removed.","Robotics Firmware Engineer"
"3","Core Firmware Platform Development","3.2","FreeRTOS task creation & core pinning","4","140","All 15 tasks running on correct cores. No stack overflow. Syntree tasks stubbed.","Robotics Firmware Engineer"
"3","Core Firmware Platform Development","3.3","Queue & atomic plumbing","3","105","can_rx_queue(16), cmd_queue(4), setpoint_queue(4). g_mode atomic. No overflows.","Robotics Firmware Engineer"
"3","Core Firmware Platform Development","3.4","Dual-CAN driver init & heartbeat","3","105","0x7FF @ 2 Hz, 0x011 @ 5 Hz on public bus. Private bus initialized, silent.","Robotics Firmware Engineer"
"4","Vehicle I/O & State Estimation","4.1","PCNT encoder → speed estimation","5","175","Speed mm/s ±5% of known RPM. CAN 0x120 @ 100 Hz. EMA filter stable ±2%.","Robotics Firmware Engineer"
"4","Vehicle I/O & State Estimation","4.2","I2C IMU → yaw rate","3","105","Yaw rate ±10% of known rotation. Drift <1°/s stationary after calibration.","Robotics Firmware Engineer"
"4","Vehicle I/O & State Estimation","4.3","Throttle ADC & mode switch","3","105","Speed linear across range, 200-count dead zone. Mode switch toggles Manual/Auto.","Robotics Firmware Engineer"
"4","Vehicle I/O & State Estimation","4.4","HC-SR04 obstacle sensor & heartbeat timing","3","105","Distance ±3 cm at 0.5/1/2 m. CAN 0x400 @ 10 Hz. Timeout → UINT32_MAX.","Robotics Firmware Engineer"
"5","Physics Model & Command Resolution","5.1","Inverse bicycle model kinematics","5","175","Unit tests pass. Slew 180°/s, low-speed freeze at 50 mm/s, ±45° clamp.","Robotics Firmware Engineer"
"5","Physics Model & Command Resolution","5.2","Reverse & direction logic","2","70","Reverse cap −500 mm/s. Direction sign correct. 0x210 reversing flag verified.","Robotics Firmware Engineer"
"5","Physics Model & Command Resolution","5.3","Obstacle speed limiting","3","105","Stop at 300 mm, clear at 3000 mm, linear ramp between. Smooth transitions verified.","Robotics Firmware Engineer"
"5","Physics Model & Command Resolution","5.4","End-to-end command resolution test","2","70","Synthetic 0x300 → bounded setpoints. No NaN/overflow over 1-hour run.","Robotics Firmware Engineer"
"6","Safety Architecture & Fail-safe Control","6.1","E-stop detection & hardware relay","4","140","<1 ms GPIO edge → PWM=0V. Hardware NC relay opens ~10 ms. CAN 0x001 also triggers.","Robotics Firmware Engineer"
"6","Safety Architecture & Fail-safe Control","6.2","Brake lever & max-select arbitration","3","105","3-input max: E-stop/lever/CAN 0x301. Each triggers independently. Release → off.","Robotics Firmware Engineer"
"6","Safety Architecture & Fail-safe Control","6.3","Heartbeat timeout & command staleness watchdog","3","105","HB timeout 1500 ms → ESTOP. 0x300 stale 200 ms → setpoint zero. Logic analyzer verified.","Robotics Firmware Engineer"
"6","Safety Architecture & Fail-safe Control","6.4","ESTOP bypass paths & external watchdog","4","140","Switch cannot exit ESTOP. GPIO21 stuck → MCU reset <100 ms. Post-reset: Manual, safe.","Robotics Firmware Engineer"
"7","Motion Control & Actuation","7.1","PID speed controller","6","210","Kp=1.0 Ki=0.1 Kd=0.05. Overshoot <20%, settle <500 ms. Anti-windup clamp ±500.","Robotics Firmware Engineer"
"7","Motion Control & Actuation","7.2","Motor effort output (PWM)","3","105","20 kHz PWM on GPIO 6, DIR on GPIO 7. ESTOP forces zero. Oscilloscope verified.","Robotics Firmware Engineer"
"7","Motion Control & Actuation","7.3","Ingest Phase 2 CAN dictionary (private bus)","3","105","All private-bus IDs, structs, configs match Phase 2 dictionary. No stub code remains.","Robotics Firmware Engineer"
"7","Motion Control & Actuation","7.4","Steering & brake CAN command generation","4","140","0x169 steering, SEB brake via CAN. E-stop/lever/0x301 → SEB. GPIO14/18 fallback only.","Robotics Firmware Engineer"
"7","Motion Control & Actuation","7.5","Syntree status monitoring & fault response","2","70","EPS/SEB fault → ESTOP within feedback timeout. All fault codes decoded correctly.","Robotics Firmware Engineer"
"8","Firmware Bring-up & Operator Modes","8.1","Manual mode bench test","3","105","Throttle → motor linear. Brake lever engages. Obstacle publishes but does not limit.","Robotics Firmware Engineer"
"8","Firmware Bring-up & Operator Modes","8.2","Auto mode bench test (CAN-injected commands)","4","140","0x300 → motor + steering + brake. 0x301 → SEB. All telemetry frames decode correctly.","Robotics Firmware Engineer"
"8","Firmware Bring-up & Operator Modes","8.3","Mode transition testing","3","105","All transitions per state machine. ESTOP lockout. Power-cycle → Manual (safe default).","Robotics Firmware Engineer"
"9","ROS 2 Integration","9.1","SocketCAN bridge foundation","6","210","Bidirectional CAN on Jetson. No dropped frames over 30 min. PC analyzer match.","Robotics Firmware Engineer"
"9","ROS 2 Integration","9.2","/cmd_vel → 0x300 serialization","5","175","Twist → big-endian i32 speed + i32 yaw. Boundary values serialize correctly.","Robotics Firmware Engineer"
"9","ROS 2 Integration","9.3","0x301 brake publisher","3","105","ros2 topic pub → 0x301 on CAN → SEB engages at commanded pressure.","Robotics Firmware Engineer"
"9","ROS 2 Integration","9.4","Telemetry → /odom","8","280","0x210/0x220/0x400 → nav_msgs/Odometry @ 10 Hz. Matches live ESP32 state.","Robotics Firmware Engineer"
"9","ROS 2 Integration","9.5","Diagnostics → /diagnostics","5","175","0x011/0x600 → DiagnosticArray @ 1 Hz. ERROR status on ESTOP or CAN faults.","Robotics Firmware Engineer"
"9","ROS 2 Integration","9.6","Keyboard teleop","5","175","i=forward ,=reverse j/l=turn k=stop ESC=E-stop. ±3000 mm/s, ±785 mrad/s limits.","Robotics Firmware Engineer"
"10","Integration, Validation & Tuning","10.1","Multi-node soak & CAN health","6","210","2-hour run: zero queue overflows, TEC/REC=0, heap stable, 0% frame drop.","Robotics Firmware Engineer"
"10","Integration, Validation & Tuning","10.2","State machine validation","6","210","All transitions verified. ESTOP lockout. Power-cycle → Manual. Video recorded.","Robotics Firmware Engineer"
"10","Integration, Validation & Tuning","10.3","On-vehicle PID & steering tuning","8","280","±10% steady-state error. Smooth steering. Obstacle stop <350 mm. Encoder calibrated.","Robotics Firmware Engineer"
"10","Integration, Validation & Tuning","10.4","Fault injection","8","280","7 fault scenarios: all → safe halt. No runaway. No CAN lockup. Video recorded.","Robotics Firmware Engineer"
"10","Integration, Validation & Tuning","10.5","Endurance & road test","2","70","30 min Auto-mode drive. Zero safety violations. No telemetry gaps. Connectors secure.","Robotics Firmware Engineer"
